"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"5","0.4","true","true","false","true","15","7.056","728.0908567068576"
"4","0.3","true","true","false","true","14","6.952","851.6274156054014"
"1","0","true","true","false","true","13","6.812","1126.998512596586"
"3","0.2","true","true","false","true","18","6.524","1026.6429276912015"
"9","0.8","true","true","false","true","16","8.488","382.3470630117209"
"8","0.7","true","true","false","true","20","8.36","430.0782632777828"
"7","0.6","true","true","false","true","20","8.576","491.58846629160934"
"6","0.5","true","true","false","true","15","7.48","605.7077304669172"
"2","0.1","true","true","false","true","16","6.436","1129.1416489978656"
"5","0.4","true","true","false","true","16","7.256","727.827566751985"
"8","0.7","true","true","false","true","21","8.448","428.10209378993085"
"3","0.2","true","true","false","true","19","6.524","1026.8083429052788"
"4","0.3","true","true","false","true","15","6.972","854.1434182094564"
"1","0","true","true","false","true","14","6.924","1148.4533247012982"
"9","0.8","true","true","false","true","17","8.436","380.1767072515895"
"7","0.6","true","true","false","true","21","8.64","487.92853154482833"
"6","0.5","true","true","false","true","16","7.584","601.1255122973382"
"8","0.7","true","true","false","true","22","8.472","425.3704951853748"
"5","0.4","true","true","false","true","17","7.208","725.4183714210716"
"3","0.2","true","true","false","true","20","6.612","1029.1648881151984"
"2","0.1","true","true","false","true","17","6.324","1153.934354314319"
"7","0.6","true","true","false","true","22","8.616","486.16198736996415"
"9","0.8","true","true","false","true","18","8.608","376.43763669407514"
"4","0.3","true","true","false","true","16","7.08","861.5669797671454"
"1","0","true","true","false","true","15","6.976","1180.7010643426336"
"8","0.7","true","true","false","true","23","8.508","424.44476072705646"
"6","0.5","true","true","false","true","17","7.748","597.5662061171118"
"7","0.6","true","true","false","true","23","8.644","483.4454602845714"
"5","0.4","true","true","false","true","18","7.412","722.5591044863339"
"3","0.2","true","true","false","true","21","6.728","1038.1372976959935"
"2","0.1","true","true","false","true","18","6.424","1167.3419936342875"
"9","0.8","true","true","false","true","19","8.72","374.20912057351296"
"8","0.7","true","true","false","true","24","8.492","423.3600705433812"
"4","0.3","true","true","false","true","17","7.06","853.9397654443654"
"1","0","true","true","false","true","16","6.9","1212.7185290483949"
"7","0.6","true","true","false","true","24","8.676","481.3590404880299"
"6","0.5","true","true","false","true","18","7.872","596.0531871509974"
"8","0.7","true","true","false","true","25","8.58","421.52976369791355"
"3","0.2","true","true","false","true","22","6.796","1037.2854496058644"
"5","0.4","true","true","false","true","19","7.432","718.5443144255654"
"9","0.8","true","true","false","true","20","8.812","371.4798297986578"
"4","0.3","true","true","false","true","18","7.148","858.2776040315601"
"7","0.6","true","true","false","true","25","8.804","480.0658130705555"
"8","0.7","true","true","false","true","26","8.572","420.98907586628786"
"1","0","true","true","false","true","17","6.948","1214.1423919510164"
"2","0.1","true","true","false","true","19","6.404","1175.5414238731664"
"3","0.2","true","true","false","true","23","6.732","1043.9305187141172"
"9","0.8","true","true","false","true","21","8.848","369.70562335765635"
